",""ID"",""YEAR"",""Yield"",""CIGREEN_VEG"",""GDVI_VEG"",""MSAVI2_VEG"",""NDVI_VEG"",""NDWI_VEG"",""PSRINIR_VEG"",""CIGREEN_REP"",""GDVI_REP"",""MSAVI2_REP"",""NDVI_REP"",""NDWI_REP"",""PSRINIR_REP"",""CIGREEN_MAT"",""GDVI_MAT"",""MSAVI2_MAT"",""NDVI_MAT"",""NDWI_MAT"",""PSRINIR_MAT"""
"31,""P5"",2017,2308.150949,14.694,28018.429,6.268,2.854,-5.442,5.503,19.316,31443.78,11.816,5.108,-6.156,3.582,74.574,101349.49,24.997,20.982,-18.807,1.484"
"32,""P6"",2017,1650.379879,15.128,28881.883,5.544,2.975,-5.543,5.418,19.311,31923.015,9.181,5.155,-6.203,3.555,70.686,98179.36,24.6,20.267,-18.273,1.75"
"33,""P7"",2017,1280.379715,14.718,28838.23,5.897,3.068,-5.467,5.046,22.462,36423.069,9.906,6.069,-6.735,3.35,71.735,101638.502,23.933,20.93,-18.752,1.276"
"34,""P8"",2017,2412.470577,15.397,29248.203,6.18,2.92,-5.613,5.658,18.828,31149.198,9.845,4.843,-6.159,3.953,71.785,100607.351,22.909,20.07,-18.51,2.291"
"35,""P9"",2017,2410.770856,14.688,28243,6.288,2.883,-5.442,5.419,20.325,32702.153,11.126,5.387,-6.399,3.591,74.883,102188.639,24.001,21.01,-19.088,1.611"
"36,""P430-M1"",2018,954.1,19.665,27915.19,6.15,3.182,-6.357,6.772,16.862,29437.46,10.05,3.878,-6.118,4.779,46.218,70097.425,24.79,11.651,-14.665,6.909"
"37,""P438-M1"",2018,670.9,13.722,29370.7,5.529,3.156,-5.067,4.046,23.805,47281.063,9.124,5.447,-7.99,5.745,59.44,94699.017,25.023,16.51,-17.623,4.8"
"38,""P438-M2"",2018,856.9,14.034,27838.368,5.448,3.216,-5.117,3.969,25.158,43508.767,8.92,5.614,-8.22,5.656,65.147,95217.339,23.911,17.643,-18.499,4.133"
"39,""P473-M1"",2018,876.3,14.524,26201.183,5.48,3.47,-5.053,3.453,37.37,49789.762,6.682,8.67,-9.686,3.054,75.03,100643.605,18.199,20.539,-20.227,2.513"
"40,""P473-M3"",2018,757.4,14.782,28215.433,5.782,3.425,-5.207,3.784,32.975,48670.114,11.174,7.679,-9.399,4.096,70.773,99535.419,26.033,19.172,-19.612,3.358"
